iter	Logloss
0	0.353581373
1	0.2528835022
2	0.2100177742
3	0.1924047665
4	0.181243613
5	0.1782482722
6	0.1742273002
7	0.1714928442
8	0.1697545535
9	0.1673939517
10	0.16659584
11	0.1656598749
12	0.1649391161
13	0.164314468
14	0.1633740743
15	0.1629527578
16	0.1625601101
17	0.1620547805
18	0.1616646642
19	0.1611109369
20	0.1607487574
21	0.1601839965
22	0.1597556767
23	0.1592259761
24	0.1586879566
25	0.1579447017
26	0.1576055326
27	0.1574322817
28	0.1567780432
29	0.1566282859
30	0.1561007842
31	0.1555827491
32	0.1551575492
33	0.1549921054
34	0.1544589653
35	0.1540340291
36	0.1538333442
37	0.1533053904
38	0.1530420032
39	0.1527572421
40	0.1522785271
41	0.1516701824
42	0.1514200213
43	0.1510716073
44	0.1504609072
45	0.1499796524
46	0.1494343692
47	0.1488658926
48	0.148562549
49	0.1481833515
50	0.1476396639
51	0.1472426122
52	0.1469537722
53	0.1464793241
54	0.1460655871
55	0.1457091611
56	0.1451308115
57	0.1445757311
58	0.1440706824
59	0.1432343118
60	0.142933262
61	0.142708476
62	0.1425455288
63	0.1421600509
64	0.1418544373
65	0.1417473623
66	0.1415223641
67	0.1411980117
68	0.1408983515
69	0.1407156986
70	0.1403684204
71	0.1400168187
72	0.1396550316
73	0.1392837571
74	0.1390124193
75	0.1386245974
76	0.1383345178
77	0.1379663828
78	0.137677265
79	0.1374162989
80	0.137140729
81	0.1367794588
82	0.1366161454
83	0.1363593579
84	0.1362150066
85	0.1358904894
86	0.135636737
87	0.1353518417
88	0.1349868326
89	0.1347479434
90	0.1345633554
91	0.1343406407
92	0.133943986
93	0.1336045402
94	0.1332741401
95	0.1326334775
96	0.1323080072
97	0.1319160942
98	0.131569538
99	0.1312365931
100	0.1309414786
101	0.1307152071
102	0.1303709855
103	0.1300139177
104	0.1298781155
105	0.1296944809
106	0.1293252087
107	0.1290248892
108	0.1286657107
109	0.1280483258
110	0.1276916703
111	0.1271442324
112	0.1269050265
113	0.1267283971
114	0.1263545017
115	0.1262400429
116	0.1260450328
117	0.1258917939
118	0.1256858112
119	0.1254713848
120	0.1250498994
121	0.1247937118
122	0.1244598477
123	0.1241589308
124	0.1238780427
125	0.1236245448
126	0.1234256873
127	0.1232007337
128	0.1228576465
129	0.1227255237
130	0.122603566
131	0.122348816
132	0.1221845989
133	0.1220089147
134	0.121757572
135	0.1213228571
136	0.1210516313
137	0.1206819253
138	0.120506435
139	0.1203472251
140	0.1202161958
141	0.1200758073
142	0.1199400696
143	0.1198301449
144	0.1195650065
145	0.1193161522
146	0.1192234816
147	0.1190701464
148	0.1189410761
149	0.1185681432
150	0.1182801788
151	0.1181739984
152	0.1179283374
153	0.1176473854
154	0.1173567798
155	0.1171691542
156	0.1169482494
157	0.1167107603
158	0.1164660773
159	0.1161726116
160	0.1159383151
161	0.1157462129
162	0.1155868097
163	0.1153529247
164	0.1152063693
165	0.1149325726
166	0.1148174169
167	0.1146697814
168	0.1143384431
169	0.1140771835
170	0.1139464266
171	0.1136809882
172	0.1134652356
173	0.1131427587
174	0.1129439874
175	0.1128286614
176	0.1126792411
177	0.1125452373
178	0.1123939314
179	0.112192553
180	0.1120955139
181	0.1119019625
182	0.1117160807
183	0.1115841095
184	0.1113740774
185	0.1111545172
186	0.1108796147
187	0.1107028538
188	0.1104808078
189	0.1103769449
190	0.1100133071
191	0.1098501807
192	0.1097183607
193	0.1096002081
194	0.1095169933
195	0.1093309074
196	0.10923465
197	0.1090815746
198	0.1089815855
199	0.1086960555
200	0.1084527071
201	0.1083338997
202	0.1081319452
203	0.1078608163
204	0.1077220658
205	0.1076077363
206	0.1074395256
207	0.1072903805
208	0.1070609426
209	0.1068183135
210	0.1066100966
211	0.106379274
212	0.1063084053
213	0.1061464301
214	0.1059800837
215	0.1057179196
216	0.1055353147
217	0.1053650913
218	0.1052587845
219	0.1051630653
220	0.1049438462
221	0.1047583602
222	0.1046535371
223	0.104484643
224	0.1044038507
225	0.1041479643
