iter	Passed	Remaining
0	296	74080
1	648	80774
2	973	80505
3	1273	78663
4	1457	71727
5	1630	66560
6	1843	64259
7	2112	64173
8	2293	61671
9	2470	59538
10	2644	57697
11	2873	57224
12	3182	58261
13	3365	56975
14	3605	56719
15	3885	57061
16	4217	58047
17	4379	56690
18	4584	55980
19	4760	54984
20	5056	55382
21	5237	54513
22	5428	53815
23	5616	53119
24	6151	55613
25	6370	55133
26	6555	54389
27	6756	53808
28	7179	54959
29	7441	54816
30	7839	55634
31	8224	56289
32	8371	55304
33	8559	54632
34	8778	54178
35	9171	54772
36	9378	54245
37	9574	53669
38	9815	53356
39	10167	53635
40	10327	52896
41	10497	52235
42	10657	51554
43	11007	51786
44	11230	51410
45	11395	50783
46	11563	50191
47	11887	50274
48	12123	49978
49	12306	49470
50	12601	49418
51	13111	50176
52	13387	50011
53	13695	49961
54	14043	50046
55	14199	49444
56	14396	49000
57	14587	48539
58	15196	49454
59	15510	49374
60	16035	49947
61	16368	49897
62	16633	49637
63	16914	49421
64	17115	48977
65	17339	48603
66	17534	48155
67	17966	48350
68	18162	47907
69	18350	47450
70	18584	47115
71	18810	46765
72	19067	46492
73	19251	46047
74	19458	45662
75	19645	45235
76	20020	45240
77	20361	45159
78	20707	45083
79	21089	45077
80	21301	44706
81	21506	44324
82	21843	44213
83	22038	43814
84	22214	43384
85	22387	42951
86	22668	42732
87	22898	42414
88	23027	41914
89	23179	41465
90	23351	41058
91	23592	40773
92	23823	40475
93	23966	40029
94	24132	39627
95	24309	39249
96	24557	38988
97	24886	38853
98	25067	38488
99	25265	38151
100	25558	37958
101	26069	38082
102	26392	37923
103	26803	37885
104	27150	37751
105	27798	38026
106	27951	37617
107	28122	37236
108	28289	36854
109	28581	36636
110	28781	36301
111	28998	35989
112	29166	35619
113	29389	35319
114	29682	35102
115	29870	34762
116	30029	34393
117	30206	34046
118	30508	33841
119	30754	33574
120	30920	33219
121	31108	32893
122	31350	32625
123	31671	32437
124	31852	32107
125	32033	31779
126	32227	31466
127	32512	31242
128	32706	30931
129	32865	30589
130	33067	30291
131	33533	30230
132	33875	30055
133	34037	29719
134	34264	29442
135	34618	29272
136	34841	28992
137	35018	28674
138	35231	28387
139	35567	28200
140	35818	27943
141	36076	27692
142	36672	27696
143	36889	27410
144	37040	27077
145	37525	26987
146	37695	26669
147	37867	26353
148	38085	26072
149	38499	25922
150	38902	25762
151	39200	25531
152	39558	25338
153	39756	25041
154	39935	24734
155	40243	24507
156	40505	24251
157	40663	23934
158	40814	23615
159	40979	23307
160	41261	23065
161	41514	22807
162	41720	22524
163	41904	22229
164	42157	21973
165	42451	21737
166	42635	21445
167	42810	21150
168	43023	20875
169	43288	20625
170	43486	20344
171	43633	20041
172	43903	19794
173	44271	19591
174	44471	19313
175	44684	19041
176	44840	18746
177	45125	18506
178	45636	18356
179	46034	18157
180	46441	17960
181	46659	17689
182	47142	17517
183	47491	17292
184	47816	17058
185	48165	16832
186	48381	16558
187	48562	16273
188	48901	16041
189	49197	15795
190	49387	15514
191	49547	15225
192	49724	14943
193	49974	14683
194	50307	14447
195	50655	14214
196	50880	13946
197	51251	13718
198	51457	13446
199	51631	13165
200	51796	12884
201	52142	12648
202	52281	12362
203	52460	12086
204	52606	11804
205	52772	11527
206	53152	11298
207	53510	11062
208	53683	10788
209	54051	10552
210	54254	10285
211	54449	10016
212	54640	9748
213	54895	9491
214	55244	9250
215	55446	8984
216	55607	8712
217	55944	8468
218	56201	8212
219	56385	7945
220	56544	7675
221	56702	7407
222	57048	7163
223	57283	6904
224	57444	6637
225	57638	6375
226	57904	6122
227	58125	5863
228	58291	5600
229	58445	5336
230	58591	5072
231	58916	4825
232	59153	4569
233	59334	4310
234	59498	4050
235	59649	3791
236	59931	3540
237	60157	3285
238	60355	3030
239	60577	2776
240	60960	2529
241	61203	2276
242	61386	2020
243	61556	1765
244	61774	1512
245	62048	1261
246	62205	1007
247	62354	754
248	62570	502
249	63038	252
250	63200	0
